Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
lachesisQ,(3082),GM,MagnusCarlsen,(3327),GM,01,81.9 93.5,28,"Sep 15, 2023",1|1,N
MagnusCarlsen,(3324),GM,lachesisQ,(3089),GM,01,72.2 88.9,14,"Sep 15, 2023",1|1,N
lachesisQ,(3060),GM,MagnusCarlsen,(3337),GM,½½,96.9 96.9,52,"Sep 15, 2023",1|1,N
MagnusCarlsen,(3342),GM,lachesisQ,(3048),GM,01,87.4 89.7,20,"Sep 15, 2023",1|1,N
lachesisQ,(3015),GM,MagnusCarlsen,(3356),GM,01,87.5 92.5,64,"Sep 15, 2023",1|1,N
MagnusCarlsen,(3354),GM,lachesisQ,(3020),GM,10,83 72,38,"Sep 15, 2023",1|1,N
lachesisQ,(3025),GM,MagnusCarlsen,(3352),GM,½½,93.8 94.3,49,"Sep 15, 2023",1|1,N
MagnusCarlsen,(3358),GM,lachesisQ,(3010),GM,10,92.1 84.6,34,"Sep 15, 2023",1|1,N
lachesisQ,(3015),GM,MagnusCarlsen,(3356),GM,01,83.7 94.8,27,"Sep 15, 2023",1|1,N
MagnusCarlsen,(3354),GM,lachesisQ,(3021),GM,10,89.3 78.8,43,"Sep 15, 2023",1|1,N
lachesisQ,(3090),GM,MagnusCarlsen,(3213),GM,01,85.2 88.8,61,"Sep 15, 2023",3|1,N
MagnusCarlsen,(3207),GM,lachesisQ,(3096),GM,½½,94.5 94.5,75,"Sep 15, 2023",3|1,N
lachesisQ,(3093),GM,MagnusCarlsen,(3210),GM,01,87.2 93.9,41,"Sep 15, 2023",3|1,N
MagnusCarlsen,(3204),GM,lachesisQ,(3099),GM,10,96.5 91.8,53,"Sep 15, 2023",3|1,N
lachesisQ,(3105),GM,MagnusCarlsen,(3198),GM,10,94.8 94.7,46,"Sep 15, 2023",3|1,N
MagnusCarlsen,(3209),GM,lachesisQ,(3094),GM,10,91 83.5,39,"Sep 15, 2023",3|1,N
lachesisQ,(3100),GM,MagnusCarlsen,(3203),GM,10,86.4 86.3,37,"Sep 15, 2023",3|1,N
MagnusCarlsen,(3214),GM,lachesisQ,(3089),GM,10,95.7 85.9,30,"Sep 15, 2023",3|1,N
lachesisQ,(3094),GM,MagnusCarlsen,(3209),GM,½½,95.8 96,58,"Sep 15, 2023",3|1,N
MagnusCarlsen,(3212),GM,lachesisQ,(3091),GM,½½,95.5 96.5,44,"Sep 15, 2023",5|1,N
lachesisQ,(3088),GM,MagnusCarlsen,(3215),GM,10,95.5 87.6,41,"Sep 15, 2023",5|1,N
MagnusCarlsen,(3226),GM,lachesisQ,(3077),GM,10,91.7 84.2,61,"Sep 15, 2023",5|1,N
lachesisQ,(3082),GM,MagnusCarlsen,(3221),GM,01,73.2 89.9,17,"Sep 15, 2023",5|1,N
MagnusCarlsen,(3216),GM,lachesisQ,(3087),GM,10,94.7 89.4,44,"Sep 15, 2023",5|1,N
lachesisQ,(3092),GM,MagnusCarlsen,(3211),GM,01,87.3 93.8,50,"Sep 15, 2023",5|1,N
MagnusCarlsen,(3205),GM,lachesisQ,(3098),GM,½½,98.1 98.3,62,"Sep 15, 2023",5|1,N
lachesisQ,(3095),GM,MagnusCarlsen,(3208),GM,½½,86 86.6,51,"Sep 15, 2023",5|1,N
MagnusCarlsen,(3211),GM,lachesisQ,(3092),GM,01,85.4 90.3,50,"Sep 15, 2023",5|1,N
MagnusCarlsen,(3222),GM,Zkid,(2954),GM,10,90 84.8,52,"Sep 12, 2023",3|1,Y
artin10862,(2977),FM,MagnusCarlsen,(3219),GM,01,82 88.7,35,"Sep 12, 2023",3|1,Y
MagnusCarlsen,(3216),GM,FairChess_on_YouTube,(3079),GM,01,79.1 85.1,63,"Sep 12, 2023",3|1,Y
BogdanDeac,(2980),GM,MagnusCarlsen,(3227),GM,01,86.9 90.2,49,"Sep 12, 2023",3|1,Y
MagnusCarlsen,(3224),GM,Bigfish1995,(3064),GM,10,93.4 85.7,38,"Sep 12, 2023",3|1,Y
