Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
DanielNaroditsky,3187,GM,MagnusCarlsen,3293,GM,White Win,63,"Sep 16, 2023",Y,-106,86.7,83.8,2.9000000000000057,1.0,0.0,1.0,Bullet
MagnusCarlsen,3304,GM,gurelediz,2973,IM,White Win,26,"Sep 16, 2023",Y,331,91.1,83.3,7.799999999999997,1.0,0.0,1.0,Bullet
Msb2,3060,GM,MagnusCarlsen,3302,GM,White Win,48,"Sep 16, 2023",Y,-242,87.0,81.5,5.5,1.0,0.0,1.0,Bullet
MagnusCarlsen,3315,GM,DanielNaroditsky,3186,GM,Draw,63,"Sep 16, 2023",Y,129,90.7,90.9,-0.20000000000000284,1.0,0.0,1.0,Bullet
Sl4werThanYou,2895,FM,MagnusCarlsen,3318,GM,Black Win,33,"Sep 16, 2023",Y,-423,77.0,87.0,-10.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3317,GM,Msb2,3042,GM,Draw,60,"Sep 16, 2023",Y,275,80.8,80.8,0.0,1.0,0.0,1.0,Bullet
maciek_92,2876,GM,MagnusCarlsen,3322,GM,Black Win,29,"Sep 16, 2023",Y,-446,80.1,89.8,-9.700000000000003,1.0,0.0,1.0,Bullet
IM_Tissir,2291,IM,MagnusCarlsen,3321,GM,Black Win,33,"Sep 16, 2023",Y,-1030,78.0,93.4,-15.400000000000006,1.0,0.0,1.0,Bullet
MagnusCarlsen,3321,GM,KNVB,2905,GM,White Win,44,"Sep 16, 2023",Y,416,96.1,83.0,13.099999999999994,1.0,0.0,1.0,Bullet
dropstoneDP,3112,GM,MagnusCarlsen,3320,GM,White Win,25,"Sep 16, 2023",Y,-208,81.5,71.2,10.299999999999997,1.0,0.0,1.0,Bullet
Zhigalko_Sergei,3101,GM,MagnusCarlsen,3333,GM,Black Win,58,"Sep 16, 2023",Y,-232,79.3,82.7,-3.4000000000000057,1.0,0.0,1.0,Bullet
MagnusCarlsen,3330,GM,Vlad_Lukiianchuk,2877,NM,White Win,32,"Sep 16, 2023",Y,453,88.3,69.5,18.799999999999997,1.0,0.0,1.0,Bullet
